"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1938-05-02T05:00:00.000Z","9.59","10.63","9.27","9.27","-5.21","-5.84","0"
"1938-06-01T05:00:00.000Z","9.57","11.72","9.42","11.56","24.70","24.08","0"
"1938-07-01T05:00:00.000Z","11.91","12.80","11.73","12.33","6.66","6.04","0"
"1938-08-01T05:00:00.000Z","12.25","12.73","11.85","12.06","-2.19","-2.81","0"
"1938-09-01T05:00:00.000Z","11.92","12.41","10.99","12.24","1.49","0.87","0"
"1938-10-03T06:00:00.000Z","12.52","13.91","12.48","13.17","7.60","6.98","0"
"1938-11-01T06:00:00.000Z","13.10","13.79","12.37","12.73","-3.34","-3.96","0"
"1938-12-01T06:00:00.000Z","12.61","13.14","12.32","13.14","3.22","2.60","0"
"1939-01-03T06:00:00.000Z","13.08","13.23","11.53","12.30","-6.39","-7.02","0"
"1939-02-01T06:00:00.000Z","12.12","12.70","12.12","12.70","3.25","2.63","0"
"1939-03-01T06:00:00.000Z","12.70","13.10","10.98","10.98","-13.54","-14.17","0"
"1939-04-03T06:00:00.000Z","11.26","11.26","10.42","10.93","-0.46","-1.08","0"
"1939-05-01T05:00:00.000Z","10.86","11.65","10.86","11.60","6.13","5.51","0"
"1939-06-01T05:00:00.000Z","11.42","11.80","10.79","10.86","-6.38","-7.00","0"
"1939-07-03T05:00:00.000Z","11.00","12.18","11.00","12.04","10.87","10.24","0"
"1939-08-01T05:00:00.000Z","12.04","12.16","10.86","11.18","-7.14","-7.77","0"
"1939-09-01T05:00:00.000Z","11.30","13.17","11.30","12.79","14.40","13.78","0"
"1939-10-02T06:00:00.000Z","12.88","13.21","12.73","12.83","0.31","-0.31","0"
"1939-11-01T06:00:00.000Z","12.82","12.95","12.20","12.20","-4.91","-5.53","0"
"1939-12-01T06:00:00.000Z","12.29","12.46","12.19","12.46","2.13","1.51","0"
"1940-01-02T06:00:00.000Z","12.63","12.77","12.05","12.05","-3.29","-3.91","0"
